(2.471704362, -76.591944191)
(1.912440521, -76.834945194)
(2.329337283, -77.26314906)
(2.084732945, -77.208813302)
(1.853951938, -76.963374538)
(2.988923885, -76.621589509)
(2.643209848, -76.701389144)
(2.803845691, -76.427193766)
(3.062875557, -76.321279771)
(3.136753606, -76.209645692)
(2.534488312, -77.005112065)
(1.69453474, -77.087357234)
(3.144389993, -76.392348107)
(2.41326696, -77.690475305)
(2.499058783, -76.137625312)
(2.84981013, -76.31124919)
(2.187473572, -76.78228032)
(2.053933426, -76.758806204)
(2.95819877, -77.242121575)
(1.793825164, -77.180603812)
(3.228235212, -76.216708274)
(2.773663981, -76.746051522)
(3.194730618, -76.336241803)
(2.733887702, -75.993682638)
(2.157983906, -77.046576199)
(1.054128816, -76.444327103)
(2.702420026, -76.537704551)
(3.266724205, -76.41846353)
(2.262153618, -76.448269377)
(2.260421954, -76.74582033)
(1.856261815, -76.716524236)
(2.984467338, -76.498731453)
(1.52002179, -76.538762806)
(2.651291894, -76.350573563)
(2.231820541, -76.611466326)
(2.936865997, -76.745824296)
(2.057735184, -76.909939647)
(2.369625312, -76.710519323)
(2.699475127, -77.491315765)
(2.975771999, -76.203315664)
(2.475213085, -76.39675937)
(3.180627317, -76.464455581)
